 24018,397,130
 24018,6097,130
 24018,9053,130
 24018,10531,130
                                                                           
 24010,1283,131
 24010,2623,131
 24010,3175,131
 24010,6095,131
 24010,7881,131
 24010,10237,131
 24010,10423,131
                                                                     
 24000,8693,130
                                                                              
 24006,2147,131
 24006,3665,131
 24006,6805,131
 24006,7561,131
 24006,9529,131
 24006,9863,131
 24006,10235,131
 24006,11803,131
                                                                     
 24008,1313,131
 24008,1389,131
 24008,3939,131
 24008,7417,131
 24008,9049,131
 24008,11111,131
                                                                        
 24032,367,131
 24032,2307,131
 24032,3669,131
 24032,5383,131
 24032,7171,131
 24032,8143,131
 24032,10537,131
 24032,10725,131
                                                                     
 24002,2031,130
 24002,9047,130
 24002,11801,130
                                                                           
 24022,397,131
 24022,1689,131
 24022,3375,131
 24022,3941,131
 24022,4401,131
 24022,5573,131
 24022,6431,131
 24022,7885,131
 24022,8701,131
                                                                  
 24042,6109,129
 24042,6523,129
                                                                              
 24078,1693,129
 24078,3733,129
 24078,10375,129
 24078,11851,129
                                                                           
 24038,367,131
 24038,4071,131
 24038,6923,131
                                                                           
 24028,367,131
 24028,2033,131
 24028,2149,131
 24028,2221,131
 24028,2625,131
 24028,3485,131
 24028,5079,131
 24028,6811,131
 24028,7887,131
 24028,8703,131
 24028,8963,131
 24028,9171,131
                                                               
 24012,1283,131
 24012,4399,131
 24012,6515,131
 24012,7165,131
 24012,8957,131
 24012,10825,131
                                                                        
 24030,367,131
 24030,4219,131
 24030,11363,131
                                                                           
 24004,1355,131
 24004,2031,131
 24004,3115,131
 24004,6337,131
 24004,6913,131
 24004,7879,131
                                                                        
 24076,5393,129
 24076,7897,129
 24076,9705,129
 24076,10265,129
                                                                           
 24046,391,129
 24046,3945,129
 24046,9693,129
                                                                           
 24026,2033,130
 24026,3725,130
 24026,6099,130
 24026,8141,130
 24026,9531,130
 24026,9685,130
                                                                        
 24044,391,130
 24044,4733,130
 24044,4887,130
 24044,5301,130
                                                                           
 24014,2439,131
 24014,3483,131
 24014,3723,131
 24014,5379,131
 24014,8137,131
 24014,8453,131
                                                                        
 24058,3947,128
 24058,11835,128
 24058,11841,128
                                                                           
 24024,4529,131
 24024,5443,131
 24024,9269,131
                                                                           
 24040,367,131
 24040,1357,131
 24040,3625,131
 24040,3727,131
 24040,5385,131
 24040,7891,131
 24040,9877,131
                                                                     
 24048,391,129
 24048,10253,129
                                                                              
 24082,3951,129
 24082,5925,129
 24082,8983,129
                                                                           
 24036,9689,129
                                                                              
 24068,379,127
 24068,8149,127
                                                                              
 24020,397,130
 24020,6517,130
 24020,8139,130
 24020,10241,130
                                                                           
 24084,4741,129
 24084,6827,129
                                                                              
 24060,373,129
 24060,385,129
                                                                              
 24074,4739,128
 24074,5923,128
